,Age,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Female,Male,Divorced,Married,Single
980,-0.6581721949139052,0.06235435185355718,0.2524264214815565,-1.0501329280353648,-0.9611104272951012,1.167525284870947,-0.7948150119838316,1.6949297064797486,-0.34436044397867616,-0.4292901468837605,0.27697536956474283,-1.0613265909495277,0.14779378678743343,1.784922108236736,-0.9606786230776299,-1.1563616360081652,-0.6735538187848661,-1.1478866057781312,1.0,0.0,0.0,0.0,1.0
644,-0.6581721949139052,1.0400705889173314,1.1714774173401021,0.37591363474707057,-0.9611104272951012,1.167525284870947,-0.8861056040677293,0.10002085685367583,1.0256256254358134,-0.4292901468837605,-0.6536618721727936,-0.41948761586126043,-0.6281235938465912,0.36278904638958065,-0.14567497227738985,-0.041933212369073096,-0.6735538187848661,-0.5817659731947459,0.0,1.0,0.0,1.0,0.0
1115,-0.3319983638061293,1.0400705889173314,-1.5856755702355347,0.37591363474707057,-0.9611104272951012,1.167525284870947,-0.7550216769729018,-0.6974335679593606,-0.618357657861574,-0.4292901468837605,0.27697536956474283,-1.3180621809848347,0.9237111674214581,-2.4814770773047297,-0.9606786230776299,-1.1563616360081652,-0.6735538187848661,-1.1478866057781312,0.0,1.0,0.0,0.0,1.0
1110,-0.22327375343687064,0.06235435185355718,-1.5856755702355347,0.37591363474707057,-0.9611104272951012,-1.549512449314212,-0.9461148044585432,-0.6974335679593606,-0.8923548717444719,-0.4292901468837605,1.2076126113022791,-1.3180621809848347,-0.6281235938465912,0.36278904638958065,-0.9606786230776299,-1.1563616360081652,-0.6735538187848661,-1.1478866057781312,1.0,0.0,1.0,0.0,0.0
121,-0.4407229741753879,-0.915361885210217,0.2524264214815565,0.37591363474707057,-0.0633615293609955,-0.6438332045858257,-0.07959897470182595,-1.0961607803658788,-0.618357657861574,-0.4292901468837605,-1.58429911391033,-0.41948761586126043,-0.6281235938465912,1.784922108236736,0.01732575788265813,0.793888105360246,-0.6735538187848661,0.8335356082637174,0.0,1.0,0.0,1.0,0.0
136,1.5163200124712677,1.0400705889173314,-1.5856755702355347,-2.4761794908178003,0.8343873685731102,1.167525284870947,0.8788458428876276,-0.29870635555284236,-0.07036323009577826,-0.4292901468837605,1.2076126113022791,0.8641903343152744,-0.6281235938465912,0.36278904638958065,-0.4716764325974858,-0.5991474241886192,-0.6735538187848661,-0.2987056569030532,0.0,1.0,0.0,0.0,1.0
530,-1.0930706363909397,-0.915361885210217,0.2524264214815565,0.37591363474707057,0.8343873685731102,-1.549512449314212,0.18980403130799825,-0.6974335679593606,-1.1663520856273697,-0.4292901468837605,1.2076126113022791,-0.29111982084360694,0.14779378678743343,0.36278904638958065,0.34332721820275414,0.793888105360246,-0.6735538187848661,0.8335356082637174,1.0,0.0,0.0,1.0,0.0
489,0.6465231295171985,1.0400705889173314,-0.6666245743769892,-1.0501329280353648,1.732136266507216,1.167525284870947,2.150742973156758,0.49874806926019405,-0.34436044397867616,-0.4292901468837605,0.27697536956474283,1.2492937193682347,0.14779378678743343,-1.0593440154575746,-0.9606786230776299,-1.1563616360081652,-0.6735538187848661,-1.1478866057781312,0.0,1.0,1.0,0.0,0.0
1062,0.7552477398864571,-1.8930781222739912,-0.6666245743769892,0.37591363474707057,0.8343873685731102,0.2618460401425607,0.7850016678083761,0.8974752816667122,0.7516284115529154,-0.4292901468837605,-0.6536618721727936,0.6074547442799675,-0.6281235938465912,-1.0593440154575746,-0.7976778929175818,-0.5991474241886192,-0.06448093074872414,-0.5817659731947459,0.0,1.0,0.0,0.0,1.0
1154,1.081421570994233,1.0400705889173314,1.1714774173401021,0.37591363474707057,2.6298851644413217,0.2618460401425607,2.7957354780665344,0.10002085685367583,-1.1663520856273697,-0.4292901468837605,0.27697536956474283,2.0195004894741557,-0.6281235938465912,0.36278904638958065,-0.30867570243743786,-0.5991474241886192,-0.3690173747667951,-1.1478866057781312,1.0,0.0,0.0,1.0,0.0
